Product_ID,Medicine_Name,Generic_Name,Category,Manufacturer,Dosage_Form,Strength,Pack_Size,MRP,Cost_Price,Shelf_Life_Months
PROD001,Mupiax Forte,Mupiax generic,Dermatology,Bristol Myers Squibb,Ointment,250mg,30s,34.11,27.62,36
PROD002,Zincsone Forte,Zincsone generic,Vitamins,Johnson & Johnson,Ointment,20mg,100s,169.37,141.09,36
PROD003,Vitmab Plus,Vitmab generic,Vitamins,Johnson & Johnson,Ointment,100mg,10s,74.01,47.23,18
PROD004,Linazole Max,Linazole generic,Antidiabetics,AstraZeneca,Syrup,250mg,60s,152.38,103.64,18
PROD005,Atormab Plus,Atormab generic,Cardiovascular,GSK,Tablet,20mg,1 Bottle,51.74,38.48,36
PROD006,Mupiax Forte,Mupiax generic,Dermatology,Pfizer,Injection,20mg,100s,75.9,50.2,18
PROD007,Amlodax Plus,Amlodax generic,Cardiovascular,GSK,Injection,20mg,30s,210.04,134.75,36
PROD008,Montzole Max,Montzole generic,Respiratory,AstraZeneca,Ointment,250mg,30s,129.22,83.26,12
PROD009,Gabaax XR,Gabaax generic,Neurology,AstraZeneca,Tablet,10mg,100s,57.47,47.56,24
PROD010,Cephfen Forte,Cephfen generic,Antibiotics,Pfizer,Syrup,250mg,30s,72.34,56.98,24
PROD011,Sertmab Plus,Sertmab generic,Neurology,Pfizer,Ointment,50mg,100s,168.82,97.45,12
PROD012,Metfen XR,Metfen generic,Antidiabetics,AbbVie,Capsule,500mg,60s,117.69,80.8,18
PROD013,Sitazole XR,Sitazole generic,Antidiabetics,Merck,Ointment,100mg,1 Vial,39.38,25.2,24
PROD014,Atorzole Forte,Atorzole generic,Cardiovascular,Roche,Injection,20mg,30s,193.05,122.18,18
PROD015,Amlodmine Plus,Amlodmine generic,Cardiovascular,Sanofi,Injection,10mg,1 Vial,28.02,20.96,18
PROD016,Sertax XR,Sertax generic,Neurology,Roche,Syrup,10mg,1 Vial,47.33,37.21,36
PROD017,Flutmine XR,Flutmine generic,Respiratory,Merck,Tablet,500mg,10s,56.38,41.82,24
PROD018,Diclocin,Diclocin generic,Analgesics,Pfizer,Tablet,50mg,10s,212.09,146.61,24
PROD019,Zinccin XR,Zinccin generic,Vitamins,Roche,Capsule,250mg,100s,107.11,69.93,24
PROD020,Losarmine Forte,Losarmine generic,Cardiovascular,Pfizer,Ointment,100mg,30s,147.37,96.86,36
